task_name,module_name,task_status,contract_success,plan_success,oracle_success,render_success,spec_present,rtl_sources,rendered_test_modules,test_module_outcomes,assertion_exact,assertion_guarded,assertion_unresolved,failure_reason_summary,makefile_source_discovery_used
JC_counter,verified_JC_counter,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/JC_counter/verified_JC_counter.v,test_verified_JC_counter_basic;test_verified_JC_counter_edge,test_verified_JC_counter_basic:runtime_error/runtime_test_failure;test_verified_JC_counter_edge:runtime_error/runtime_test_failure,12,0,1,"module_failures=test_verified_JC_counter_basic:runtime_error/runtime_test_failure, test_verified_JC_counter_edge:runtime_error/runtime_test_failure",False
LFSR,LFSR,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/LFSR/verified_LFSR.v,test_LFSR_basic;test_LFSR_edge,test_LFSR_basic:runtime_error/runtime_test_failure;test_LFSR_edge:runtime_error/runtime_test_failure,0,0,8,"module_failures=test_LFSR_basic:runtime_error/runtime_test_failure, test_LFSR_edge:runtime_error/runtime_test_failure",False
LIFObuffer,LIFObuffer,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/LIFObuffer/verified_LIFObuffer.v,test_LIFObuffer_basic;test_LIFObuffer_edge,test_LIFObuffer_basic:runtime_error/runtime_test_failure;test_LIFObuffer_edge:runtime_error/runtime_test_failure,2,5,19,"module_failures=test_LIFObuffer_basic:runtime_error/runtime_test_failure, test_LIFObuffer_edge:runtime_error/runtime_test_failure",False
RAM,verified_RAM,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/RAM/verified_RAM.v,test_verified_RAM_basic;test_verified_RAM_edge,test_verified_RAM_basic:runtime_error/runtime_test_failure;test_verified_RAM_edge:runtime_error/runtime_test_failure,15,0,1,"module_failures=test_verified_RAM_basic:runtime_error/runtime_test_failure, test_verified_RAM_edge:runtime_error/runtime_test_failure",False
ROM,ROM,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/ROM/verified_ROM.v,test_ROM_basic;test_ROM_edge,test_ROM_basic:success/no_failure;test_ROM_edge:success/no_failure,0,2,1,,False
accu,accu,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/accu/verified_accu.v,test_accu_basic;test_accu_edge,test_accu_basic:runtime_error/runtime_test_failure;test_accu_edge:runtime_error/runtime_test_failure,7,0,2,"module_failures=test_accu_basic:runtime_error/runtime_test_failure, test_accu_edge:runtime_error/runtime_test_failure",False
adder_16bit,verified_adder_16bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/adder_16bit/verified_adder_16bit.v,test_verified_adder_16bit_basic;test_verified_adder_16bit_edge,test_verified_adder_16bit_basic:success/no_failure;test_verified_adder_16bit_edge:success/no_failure,0,0,14,,False
adder_32bit,verified_adder_32bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/adder_32bit/verified_adder_32bit.v,test_verified_adder_32bit_basic;test_verified_adder_32bit_edge,test_verified_adder_32bit_basic:success/no_failure;test_verified_adder_32bit_edge:success/no_failure,0,0,14,,False
adder_8bit,verified_adder_8bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/adder_8bit/verified_adder_8bit.v,test_verified_adder_8bit_basic;test_verified_adder_8bit_edge,test_verified_adder_8bit_basic:success/no_failure;test_verified_adder_8bit_edge:success/no_failure,0,5,11,,False
adder_bcd,adder_bcd,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/adder_bcd/verified_adder_bcd.v,test_adder_bcd_basic;test_adder_bcd_edge,test_adder_bcd_basic:success/no_failure;test_adder_bcd_edge:success/no_failure,0,4,12,,False
adder_pipe_64bit,verified_adder_64bit,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/adder_pipe_64bit/verified_adder_64bit.v,test_verified_adder_64bit_basic;test_verified_adder_64bit_edge,test_verified_adder_64bit_basic:runtime_error/runtime_test_failure;test_verified_adder_64bit_edge:runtime_error/runtime_test_failure,0,0,24,"module_failures=test_verified_adder_64bit_basic:runtime_error/runtime_test_failure, test_verified_adder_64bit_edge:runtime_error/runtime_test_failure",False
alu,verified_alu,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/alu/verified_alu.v,test_verified_alu_basic;test_verified_alu_edge,test_verified_alu_basic:success/no_failure;test_verified_alu_edge:success/no_failure,0,24,36,,False
asyn_fifo,dual_port_RAM,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/asyn_fifo/verified_asyn_fifo.v,test_dual_port_RAM_basic;test_dual_port_RAM_protocol;test_dual_port_RAM_edge,test_dual_port_RAM_basic:runtime_error/runtime_test_failure;test_dual_port_RAM_protocol:runtime_error/runtime_test_failure;test_dual_port_RAM_edge:runtime_error/runtime_test_failure,0,0,9,"module_failures=test_dual_port_RAM_basic:runtime_error/runtime_test_failure, test_dual_port_RAM_protocol:runtime_error/runtime_test_failure, test_dual_port_RAM_edge:runtime_error/runtime_test_failure",False
barrel_shifter,barrel_shifter,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/barrel_shifter/verified_barrel_shifter.v,test_barrel_shifter_basic;test_barrel_shifter_edge,test_barrel_shifter_basic:success/no_failure;test_barrel_shifter_edge:success/no_failure,0,0,4,,False
calendar,verified_calendar,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/calendar/verified_calendar.v,test_verified_calendar_basic;test_verified_calendar_edge,test_verified_calendar_basic:runtime_error/runtime_test_failure;test_verified_calendar_edge:runtime_error/runtime_test_failure,0,0,3,"module_failures=test_verified_calendar_basic:runtime_error/runtime_test_failure, test_verified_calendar_edge:runtime_error/runtime_test_failure",False
clkgenerator,clkgenerator,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/clkgenerator/verified_clkgenerator.v,test_clkgenerator_basic,test_clkgenerator_basic:success/no_failure,0,0,0,,False
comparator_3bit,comparator_3bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/comparator_3bit/verified_comparator_3bit.v,test_comparator_3bit_basic;test_comparator_3bit_edge,test_comparator_3bit_basic:success/no_failure;test_comparator_3bit_edge:success/no_failure,21,0,0,,False
comparator_4bit,comparator_4bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/comparator_4bit/verified_comparator_4bit.v,test_comparator_4bit_basic;test_comparator_4bit_edge,test_comparator_4bit_basic:success/no_failure;test_comparator_4bit_edge:success/no_failure,0,0,20,,False
counter_12,verified_counter_12,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/counter_12/verified_counter_12.v,test_verified_counter_12_basic;test_verified_counter_12_edge,test_verified_counter_12_basic:runtime_error/runtime_test_failure;test_verified_counter_12_edge:runtime_error/runtime_test_failure,0,5,6,"module_failures=test_verified_counter_12_basic:runtime_error/runtime_test_failure, test_verified_counter_12_edge:runtime_error/runtime_test_failure",False
div_16bit,verified_div_16bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/div_16bit/verified_div_16bit.v,test_verified_div_16bit_basic;test_verified_div_16bit_edge,test_verified_div_16bit_basic:success/no_failure;test_verified_div_16bit_edge:success/no_failure,0,8,10,,False
edge_detect,verified_edge_detect,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/edge_detect/verified_edge_detect.v,test_verified_edge_detect_basic;test_verified_edge_detect_edge,test_verified_edge_detect_basic:runtime_error/runtime_test_failure;test_verified_edge_detect_edge:runtime_error/runtime_test_failure,24,0,2,"module_failures=test_verified_edge_detect_basic:runtime_error/runtime_test_failure, test_verified_edge_detect_edge:runtime_error/runtime_test_failure",False
fixed_point_adder,fixed_point_adder,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/fixed_point_adder/verified_fixed_point_adder.v,test_fixed_point_adder_basic;test_fixed_point_adder_edge,test_fixed_point_adder_basic:success/no_failure;test_fixed_point_adder_edge:success/no_failure,0,0,7,,False
fixed_point_subtractor,fixed_point_subtractor,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/fixed_point_subtractor/verified_fixed_point_substractor.v,test_fixed_point_subtractor_basic;test_fixed_point_subtractor_edge,test_fixed_point_subtractor_basic:success/no_failure;test_fixed_point_subtractor_edge:success/no_failure,0,0,10,,False
