task_name,module_name,task_status,contract_success,plan_success,oracle_success,render_success,spec_present,rtl_sources,rendered_test_modules,llm_plan_status,llm_oracle_status,test_module_outcomes,assertion_exact,assertion_guarded,assertion_unresolved,failure_reason_summary,makefile_source_discovery_used
JC_counter,verified_JC_counter,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/JC_counter/verified_JC_counter.v,test_verified_JC_counter_basic,fallback,fallback,test_verified_JC_counter_basic:success/no_failure,3,0,2,,False
LFSR,LFSR,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/LFSR/verified_LFSR.v,test_LFSR_basic,fallback,fallback,test_LFSR_basic:success/no_failure,0,0,5,,False
LIFObuffer,LIFObuffer,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/LIFObuffer/verified_LIFObuffer.v,test_LIFObuffer_basic;test_LIFObuffer_edge,fallback,fallback,test_LIFObuffer_basic:success/no_failure;test_LIFObuffer_edge:success/no_failure,7,0,18,,False
RAM,verified_RAM,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/RAM/verified_RAM.v,test_verified_RAM_basic;test_verified_RAM_edge,fallback,fallback,test_verified_RAM_basic:success/no_failure;test_verified_RAM_edge:success/no_failure,2,0,4,,False
ROM,ROM,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/ROM/verified_ROM.v,test_ROM_basic;test_ROM_edge,fallback,fallback,test_ROM_basic:success/no_failure;test_ROM_edge:success/no_failure,0,0,2,,False
accu,accu,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/accu/verified_accu.v,test_accu_basic;test_accu_edge,fallback,fallback,test_accu_basic:success/no_failure;test_accu_edge:success/no_failure,1,0,4,,False
adder_16bit,verified_adder_16bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/adder_16bit/verified_adder_16bit.v,test_verified_adder_16bit_basic;test_verified_adder_16bit_edge,fallback,fallback,test_verified_adder_16bit_basic:success/no_failure;test_verified_adder_16bit_edge:success/no_failure,0,1,7,,False
adder_32bit,verified_adder_32bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/adder_32bit/verified_adder_32bit.v,test_verified_adder_32bit_basic,fallback,fallback,test_verified_adder_32bit_basic:success/no_failure,0,0,4,,False
adder_8bit,verified_adder_8bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/adder_8bit/verified_adder_8bit.v,test_verified_adder_8bit_basic;test_verified_adder_8bit_edge,fallback,fallback,test_verified_adder_8bit_basic:success/no_failure;test_verified_adder_8bit_edge:success/no_failure,0,1,7,,False
adder_bcd,adder_bcd,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/adder_bcd/verified_adder_bcd.v,test_adder_bcd_basic;test_adder_bcd_edge,fallback,fallback,test_adder_bcd_basic:success/no_failure;test_adder_bcd_edge:success/no_failure,0,1,7,,False
adder_pipe_64bit,verified_adder_64bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/adder_pipe_64bit/verified_adder_64bit.v,test_verified_adder_64bit_basic;test_verified_adder_64bit_edge,fallback,fallback,test_verified_adder_64bit_basic:success/no_failure;test_verified_adder_64bit_edge:success/no_failure,0,0,18,,False
alu,verified_alu,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/alu/verified_alu.v,test_verified_alu_basic;test_verified_alu_edge,fallback,fallback,test_verified_alu_basic:success/no_failure;test_verified_alu_edge:success/no_failure,0,9,14,,False
asyn_fifo,dual_port_RAM,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/asyn_fifo/verified_asyn_fifo.v,test_dual_port_RAM_basic;test_dual_port_RAM_edge,fallback,fallback,test_dual_port_RAM_basic:success/no_failure;test_dual_port_RAM_edge:success/no_failure,0,0,3,,False
barrel_shifter,barrel_shifter,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/barrel_shifter/verified_barrel_shifter.v,test_barrel_shifter_basic,fallback,fallback,test_barrel_shifter_basic:success/no_failure,0,0,1,,False
