task_name,module_name,task_status,contract_success,plan_success,oracle_success,render_success,spec_present,rtl_sources,rendered_test_modules,test_module_outcomes,assertion_exact,assertion_guarded,assertion_unresolved,failure_reason_summary,makefile_source_discovery_used
JC_counter,verified_JC_counter,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/JC_counter/verified_JC_counter.v,test_verified_JC_counter_basic,test_verified_JC_counter_basic:success/no_failure,0,0,5,,False
LFSR,LFSR,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/LFSR/verified_LFSR.v,test_LFSR_basic,test_LFSR_basic:success/no_failure,0,0,5,,False
LIFObuffer,LIFObuffer,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/LIFObuffer/verified_LIFObuffer.v,test_LIFObuffer_basic;test_LIFObuffer_edge,test_LIFObuffer_basic:runtime_error/runtime_test_failure;test_LIFObuffer_edge:runtime_error/runtime_test_failure,0,4,23,"module_failures=test_LIFObuffer_basic:runtime_error/runtime_test_failure, test_LIFObuffer_edge:runtime_error/runtime_test_failure",False
RAM,verified_RAM,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/RAM/verified_RAM.v,test_verified_RAM_basic;test_verified_RAM_edge,test_verified_RAM_basic:success/no_failure;test_verified_RAM_edge:success/no_failure,0,4,5,,False
ROM,ROM,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/ROM/verified_ROM.v,test_ROM_basic;test_ROM_edge,test_ROM_basic:success/no_failure;test_ROM_edge:runtime_error/runtime_test_failure,0,1,1,module_failures=test_ROM_edge:runtime_error/runtime_test_failure,False
accu,accu,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/accu/verified_accu.v,test_accu_basic;test_accu_edge,test_accu_basic:success/no_failure;test_accu_edge:runtime_error/runtime_test_failure,0,2,8,module_failures=test_accu_edge:runtime_error/runtime_test_failure,False
adder_16bit,verified_adder_16bit,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/adder_16bit/verified_adder_16bit.v,test_verified_adder_16bit_basic;test_verified_adder_16bit_edge,test_verified_adder_16bit_basic:success/no_failure;test_verified_adder_16bit_edge:runtime_error/runtime_test_failure,0,2,6,module_failures=test_verified_adder_16bit_edge:runtime_error/runtime_test_failure,False
adder_32bit,verified_adder_32bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/adder_32bit/verified_adder_32bit.v,test_verified_adder_32bit_basic,test_verified_adder_32bit_basic:success/no_failure,0,0,4,,False
adder_8bit,verified_adder_8bit,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/adder_8bit/verified_adder_8bit.v,test_verified_adder_8bit_basic;test_verified_adder_8bit_edge,test_verified_adder_8bit_basic:success/no_failure;test_verified_adder_8bit_edge:runtime_error/runtime_test_failure,0,2,6,module_failures=test_verified_adder_8bit_edge:runtime_error/runtime_test_failure,False
adder_bcd,adder_bcd,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/adder_bcd/verified_adder_bcd.v,test_adder_bcd_basic;test_adder_bcd_edge,test_adder_bcd_basic:success/no_failure;test_adder_bcd_edge:runtime_error/runtime_test_failure,0,2,6,module_failures=test_adder_bcd_edge:runtime_error/runtime_test_failure,False
adder_pipe_64bit,verified_adder_64bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/adder_pipe_64bit/verified_adder_64bit.v,test_verified_adder_64bit_basic;test_verified_adder_64bit_edge,test_verified_adder_64bit_basic:success/no_failure;test_verified_adder_64bit_edge:success/no_failure,0,0,18,,False
