task_name,module_name,task_status,contract_success,plan_success,oracle_success,render_success,spec_present,rtl_sources,rendered_test_modules,llm_plan_status,llm_oracle_status,test_module_outcomes,assertion_exact,assertion_guarded,assertion_unresolved,failure_reason_summary,makefile_source_discovery_used
JC_counter,verified_JC_counter,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/JC_counter/verified_JC_counter.v,test_verified_JC_counter_basic;test_verified_JC_counter_edge,merged,merged,test_verified_JC_counter_basic:success/no_failure;test_verified_JC_counter_edge:success/no_failure,5,0,5,,False
LFSR,LFSR,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/LFSR/verified_LFSR.v,test_LFSR_basic;test_LFSR_edge,merged,merged,test_LFSR_basic:success/no_failure;test_LFSR_edge:success/no_failure,0,0,12,,False
LIFObuffer,LIFObuffer,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/LIFObuffer/verified_LIFObuffer.v,test_LIFObuffer_basic;test_LIFObuffer_protocol;test_LIFObuffer_edge,merged,merged,test_LIFObuffer_basic:success/no_failure;test_LIFObuffer_protocol:runtime_error/runtime_test_failure;test_LIFObuffer_edge:success/no_failure,11,0,32,module_failures=test_LIFObuffer_protocol:runtime_error/runtime_test_failure,False
RAM,verified_RAM,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/RAM/verified_RAM.v,test_verified_RAM_basic;test_verified_RAM_protocol;test_verified_RAM_edge,merged,merged,test_verified_RAM_basic:runtime_error/runtime_test_failure;test_verified_RAM_protocol:success/no_failure;test_verified_RAM_edge:success/no_failure,2,0,7,module_failures=test_verified_RAM_basic:runtime_error/runtime_test_failure,False
ROM,ROM,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/ROM/verified_ROM.v,test_ROM_basic;test_ROM_edge,merged,merged,test_ROM_basic:success/no_failure;test_ROM_edge:success/no_failure,0,0,6,,False
accu,accu,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/accu/verified_accu.v,test_accu_basic;test_accu_edge,merged,merged,test_accu_basic:runtime_error/runtime_test_failure;test_accu_edge:success/no_failure,12,0,9,module_failures=test_accu_basic:runtime_error/runtime_test_failure,False
adder_16bit,verified_adder_16bit,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/adder_16bit/verified_adder_16bit.v,test_verified_adder_16bit_basic;test_verified_adder_16bit_edge,merged,merged,test_verified_adder_16bit_basic:success/no_failure;test_verified_adder_16bit_edge:runtime_error/runtime_test_failure,0,2,18,module_failures=test_verified_adder_16bit_edge:runtime_error/runtime_test_failure,False
adder_32bit,verified_adder_32bit,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/adder_32bit/verified_adder_32bit.v,test_verified_adder_32bit_basic;test_verified_adder_32bit_edge,merged,merged,test_verified_adder_32bit_basic:success/no_failure;test_verified_adder_32bit_edge:success/insufficient_stimulus,0,0,11,module_failures=test_verified_adder_32bit_edge:success/insufficient_stimulus,False
adder_8bit,verified_adder_8bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/adder_8bit/verified_adder_8bit.v,test_verified_adder_8bit_basic;test_verified_adder_8bit_edge,merged,merged,test_verified_adder_8bit_basic:success/no_failure;test_verified_adder_8bit_edge:success/no_failure,0,1,13,,False
adder_bcd,adder_bcd,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/adder_bcd/verified_adder_bcd.v,test_adder_bcd_basic;test_adder_bcd_edge,merged,merged,test_adder_bcd_basic:success/no_failure;test_adder_bcd_edge:runtime_error/runtime_test_failure,0,2,16,module_failures=test_adder_bcd_edge:runtime_error/runtime_test_failure,False
